Date_Time,Glucose_1,Glucose_2
08/05/2019 0:11,2.9,4
08/05/2019 0:26,2.8,4.1
08/05/2019 0:41,2.8,3.9
08/05/2019 0:56,2.4,3.9
08/05/2019 1:11,2.2,3.7
08/05/2019 1:26,2.6,3.4
08/05/2019 1:41,3.4,3.4
08/05/2019 1:56,3.6,3.9
08/05/2019 2:11,3.4,3.7
08/05/2019 2:26,3.5,3.3
08/05/2019 2:41,3.5,3.2
08/05/2019 2:56,3.6,3.3
08/05/2019 3:11,3.4,3.7
08/05/2019 3:26,3.3,3.8
08/05/2019 3:41,3.6,4.1
08/05/2019 3:56,3.6,3.9
08/05/2019 4:11,3.6,3.3
08/05/2019 4:26,3.7,3.2
08/05/2019 4:41,3.7,3.4
08/05/2019 4:56,3.7,4
08/05/2019 5:11,3.8,3.9
08/05/2019 5:26,3.7,3.4
08/05/2019 5:41,3.3,2.8
08/05/2019 5:56,3.1,2.4
08/05/2019 6:11,4.1,2.8
08/05/2019 6:26,4.2,4.2
08/05/2019 6:41,4.1,4.3
08/05/2019 6:56,4.3,4
08/05/2019 7:12,3.9,4.1
08/05/2019 7:27,3.9,4
08/05/2019 7:42,3.8,4.1
08/05/2019 7:56,3.4,4.7
08/05/2019 8:11,3.7,3.4
08/05/2019 8:26,3.7,3.4
08/05/2019 8:41,3.8,3.7
08/05/2019 8:56,4.1,3.5
08/05/2019 9:11,3.6,3.6
08/05/2019 9:26,3.3,3.6
08/05/2019 9:41,3.6,3.4
08/05/2019 9:56,3.9,3.4
08/05/2019 10:11,3.5,3.3
08/05/2019 10:27,3.3,3.3
08/05/2019 10:42,3.3,3.3
08/05/2019 10:57,3.3,3.1
08/05/2019 11:12,3.4,3.6
08/05/2019 11:27,3.6,3.7
08/05/2019 11:42,3.3,3.4
08/05/2019 11:57,3.5,3.2
08/05/2019 12:12,3.8,3.7
08/05/2019 12:27,4,3.6
08/05/2019 12:42,4.2,3.4
08/05/2019 12:57,3.7,3.6
08/05/2019 13:12,3.4,3.8
08/05/2019 13:27,3.4,3.9
08/05/2019 13:42,3.9,3.7
08/05/2019 13:57,3.8,3.3
08/05/2019 14:12,3.8,3.9
08/05/2019 14:27,4.1,4.4
08/05/2019 14:43,3.8,4.1
08/05/2019 14:58,3.3,3.5
08/05/2019 15:12,3.1,3.4
08/05/2019 15:28,2.8,3.7
08/05/2019 15:43,2.7,3.9
08/05/2019 15:58,2.7,4.1
08/05/2019 16:13,3.1,3.9
08/05/2019 16:28,3.4,3.9
08/05/2019 16:43,3.3,4.1
08/05/2019 16:58,3.5,3.8
08/05/2019 17:13,3.4,3.3
08/05/2019 17:28,3.8,3.4
08/05/2019 17:43,4.2,4.4
08/05/2019 17:59,3.8,4.5
08/05/2019 18:14,3.8,4.1
08/05/2019 18:29,3.7,3.4
08/05/2019 18:43,3.5,4.1
08/05/2019 18:58,3.3,4.8
08/05/2019 19:13,3.2,4.2
08/05/2019 19:28,3.6,3.9
08/05/2019 19:43,4.3,3.8
08/05/2019 19:58,4.4,3.7
08/05/2019 20:13,4,3.5
08/05/2019 20:29,4.2,3.8
08/05/2019 20:44,3.6,4.1
08/05/2019 20:59,3.6,4
08/05/2019 21:14,4.2,3.8
08/05/2019 21:29,4.2,4.1
08/05/2019 21:45,4.1,4.7
08/05/2019 22:00,4.2,4.7
08/05/2019 22:14,3.6,4.6
08/05/2019 22:29,3.4,4.6
08/05/2019 22:44,3.9,4.4
08/05/2019 23:01,3.4,4.5
08/05/2019 23:16,2.8,5.3
08/05/2019 23:31,2.2,5.4
08/05/2019 23:46,2.2,4.3
09/05/2019 0:01,2.2,3.6
09/05/2019 0:16,3.2,3.3
09/05/2019 0:31,3.4,4.6
09/05/2019 0:46,3.3,4.6
09/05/2019 1:01,3.9,4
09/05/2019 1:16,3.9,3.8
09/05/2019 1:31,3.5,3.1
09/05/2019 1:46,3.2,2.3
09/05/2019 2:01,2.9,2.4
09/05/2019 2:16,2.9,2.7
09/05/2019 2:31,3.2,2.7
09/05/2019 2:46,3.5,2.9
09/05/2019 3:01,3.2,2.9
09/05/2019 3:16,3.1,2.9
09/05/2019 3:31,3.3,2.7
09/05/2019 3:46,3.3,2.7
09/05/2019 4:01,3.3,3.3
09/05/2019 4:16,3.2,3.8
09/05/2019 4:31,3.2,3.7
09/05/2019 4:46,3.3,3.7
09/05/2019 5:01,3.4,4
09/05/2019 5:16,3.4,3.7
09/05/2019 5:31,2.9,3.3
09/05/2019 5:46,2.3,3.3
09/05/2019 6:01,2.3,3.3
09/05/2019 6:16,2.8,3.4
09/05/2019 6:31,2.9,3.6
09/05/2019 6:46,3.1,3.8
09/05/2019 7:01,3.7,4.2
09/05/2019 7:16,3.6,4
09/05/2019 7:31,3.3,3.5
09/05/2019 7:46,3.3,3.8
09/05/2019 8:01,4,4.7
09/05/2019 8:16,4.7,4.2
09/05/2019 8:31,4.7,3.6
09/05/2019 8:46,4,3.6
09/05/2019 9:01,3.6,3.7
09/05/2019 9:16,3.6,3.7
09/05/2019 9:31,3.7,3.5
09/05/2019 9:46,3.6,3.3
09/05/2019 10:01,3.7,3.3
09/05/2019 10:16,4,3.6
09/05/2019 10:32,3.6,3.9
09/05/2019 10:47,3.5,4
09/05/2019 11:02,3.8,3.7
09/05/2019 11:17,3.9,3.4
09/05/2019 11:32,3.6,3.4
09/05/2019 11:47,3.6,3.5
09/05/2019 12:02,3.5,3.4
09/05/2019 12:17,3.5,3.4
09/05/2019 12:32,3.8,3.4
09/05/2019 12:47,3.8,3.4
09/05/2019 13:02,3.7,3.4
09/05/2019 13:17,3.6,3.8
09/05/2019 13:32,3.6,4.3
09/05/2019 13:47,3.8,4.2
09/05/2019 14:02,3.9,3.6
09/05/2019 14:17,3.6,3.6
09/05/2019 14:32,3.2,3.9
09/05/2019 14:47,3.1,3.8
09/05/2019 15:02,3.5,3.7
09/05/2019 15:17,3.8,3.6
09/05/2019 15:33,3.8,3.6
09/05/2019 15:48,3.6,3.5
09/05/2019 16:03,3.6,3.4
09/05/2019 16:18,3.7,3.2
09/05/2019 16:33,3.9,3.2
09/05/2019 16:48,3.7,3.4
09/05/2019 17:03,3.7,3.7
09/05/2019 17:18,3.8,3.4
09/05/2019 17:34,4.1,3.4
09/05/2019 17:49,4.1,3.5
09/05/2019 18:04,3.6,3.3
09/05/2019 18:19,3.6,3.4
09/05/2019 18:34,3.8,3.8
09/05/2019 18:49,3.4,4.4
09/05/2019 19:04,3.8,5.1
09/05/2019 19:19,3.9,5.3
09/05/2019 19:34,4.2,5
09/05/2019 19:49,4.6,4.5
09/05/2019 20:04,4.6,4.2
09/05/2019 20:19,4.1,4.3
09/05/2019 20:34,3.6,4.3
09/05/2019 20:49,3.4,4.2
09/05/2019 21:05,3.5,4.3
09/05/2019 21:20,3.4,4.9
09/05/2019 21:35,3.4,4.9
09/05/2019 21:50,3.6,4.2
09/05/2019 22:04,3.8,3.4
09/05/2019 22:19,4.4,3.4
09/05/2019 22:34,5.1,4.1
09/05/2019 22:50,4.4,4
09/05/2019 23:06,4.3,3.4
09/05/2019 23:21,4.4,4.5
09/05/2019 23:36,4,4.4
09/05/2019 23:51,3.8,4.2
